SaleID,SaleDate,CustomerID,ProductID,Quantity,SalesAmount
S001,2024-01-01,C001,P001,2,400
S002,2024-01-01,C002,P002,1,800
S003,2024-01-02,C003,P003,3,900
S004,2024-01-02,C004,P001,1,200
S005,2024-01-03,C005,P002,2,1600
S006,2024-01-03,C001,P003,1,300
S007,2024-01-04,C002,P001,4,800
S008,2024-01-04,C003,P002,1,800
S009,2024-01-05,C004,P003,2,600
S010,2024-01-05,C005,P001,3,600
S011,2024-01-06,C001,P002,1,800
S012,2024-01-06,C002,P003,2,600
S013,2024-01-07,C003,P001,2,400
S014,2024-01-07,C004,P002,3,2400
S015,2024-01-08,C005,P003,1,300
S016,2024-01-08,C001,P001,5,1000
S017,2024-01-09,C002,P002,2,1600
S018,2024-01-09,C003,P003,3,900
S019,2024-01-10,C004,P001,1,200
S020,2024-01-10,C005,P002,2,1600
S021,2024-01-11,C001,P003,4,1200
S022,2024-01-11,C002,P001,2,400
S023,2024-01-12,C003,P002,1,800
S024,2024-01-12,C004,P003,2,600
S025,2024-01-13,C005,P001,3,600
S026,2024-01-13,C001,P002,2,1600
S027,2024-01-14,C002,P003,1,300
S028,2024-01-14,C003,P001,4,800
S029,2024-01-15,C004,P002,1,800
S030,2024-01-15,C005,P003,2,600
S031,2024-01-16,C001,P001,2,400
S032,2024-01-16,C002,P002,3,2400
S033,2024-01-17,C003,P003,1,300
S034,2024-01-17,C004,P001,2,400
S035,2024-01-18,C005,P002,1,800
S036,2024-01-18,C001,P003,3,900
S037,2024-01-19,C002,P001,1,200
S038,2024-01-19,C003,P002,2,1600
S039,2024-01-20,C004,P003,4,1200
S040,2024-01-20,C005,P001,5,1000
S041,2024-01-21,C001,P002,1,800
S042,2024-01-21,C002,P003,2,600
S043,2024-01-22,C003,P001,3,600
S044,2024-01-22,C004,P002,2,1600
S045,2024-01-23,C005,P003,1,300
S046,2024-01-23,C001,P001,4,800
S047,2024-01-24,C002,P002,1,800
S048,2024-01-24,C003,P003,2,600
S049,2024-01-25,C004,P001,3,600
S050,2024-01-25,C005,P002,2,1600
