order_id,product_name,category,price,qty,amount,order_date,city,payment_method
1,Pen Pack,Stationery,19317,3,57951,2024-05-06,Hyderabad,UPI
2,Notebook,Stationery,32544,2,65088,2025-10-16,Chennai,Debit Card
3,Laptop,Electronics,3513,1,3513,2024-03-21,Indore,UPI
4,Jeans,Fashion,27906,2,55812,2023-05-19,Jaipur,Debit Card
5,Mixer Grinder,Home Appliances,11890,2,23780,2023-09-22,Chennai,Credit Card
6,Shoes,Fashion,4060,4,16240,2024-11-02,Delhi,Net Banking
7,Laptop,Electronics,9122,2,18244,2023-06-02,Mumbai,UPI
8,Jeans,Fashion,18393,1,18393,2023-10-02,Hyderabad,Credit Card
9,Jeans,Fashion,18828,3,56484,2024-07-08,Pune,Debit Card
10,Jeans,Fashion,1039,4,4156,2025-02-16,Hyderabad,UPI
11,Smartphone,Electronics,42222,5,211110,2023-01-14,Indore,Credit Card
12,Air Fryer,Home Appliances,20714,3,62142,2024-02-10,Mumbai,Debit Card
13,Air Fryer,Home Appliances,41775,4,167100,2025-11-04,Chennai,Cash
14,Pen Pack,Stationery,32958,2,65916,2025-04-12,Hyderabad,Credit Card
15,Laptop,Electronics,2768,1,2768,2023-02-26,Indore,UPI
16,Air Fryer,Home Appliances,21577,4,86308,2023-02-24,Bengaluru,UPI
17,Notebook,Stationery,7836,4,31344,2023-10-02,Bengaluru,Debit Card
18,Notebook,Stationery,24501,1,24501,2023-02-21,Chennai,Debit Card
19,T-Shirt,Fashion,1769,1,1769,2024-08-23,Jaipur,Debit Card
20,Shoes,Fashion,30888,3,92664,2025-12-26,Chennai,Cash
21,Shoes,Fashion,9395,5,46975,2023-07-15,Bengaluru,Credit Card
22,Smartphone,Electronics,12931,4,51724,2025-06-09,Jaipur,Net Banking
23,Laptop,Electronics,8612,5,43060,2024-04-21,Pune,Credit Card
24,Smartphone,Electronics,37446,5,187230,2025-08-01,Jaipur,Credit Card
25,Smartphone,Electronics,35634,1,35634,2024-06-21,Hyderabad,Credit Card
26,Smartphone,Electronics,9720,5,48600,2024-05-18,Mumbai,UPI
27,Air Fryer,Home Appliances,16864,5,84320,2023-02-28,Delhi,Credit Card
28,Shoes,Fashion,40882,3,122646,2024-12-18,Kolkata,UPI
29,Notebook,Stationery,30282,4,121128,2024-02-18,Chennai,Credit Card
30,T-Shirt,Fashion,45932,4,183728,2025-11-15,Bengaluru,Net Banking
31,Mixer Grinder,Home Appliances,26169,4,104676,2023-07-05,Mumbai,Net Banking
32,Smartphone,Electronics,36741,5,183705,2024-06-29,Pune,UPI
33,Air Fryer,Home Appliances,25566,2,51132,2023-05-28,Indore,Credit Card
34,Mixer Grinder,Home Appliances,10988,3,32964,2025-12-07,Delhi,UPI
35,Pen Pack,Stationery,23493,4,93972,2023-09-06,Ahmedabad,Debit Card
36,Smartphone,Electronics,30478,1,30478,2023-04-10,Bengaluru,Credit Card
37,T-Shirt,Fashion,5777,5,28885,2025-04-27,Kolkata,Debit Card
38,Laptop,Electronics,44014,2,88028,2024-03-03,Kolkata,Cash
39,Mixer Grinder,Home Appliances,29072,1,29072,2023-09-04,Bengaluru,Credit Card
40,Notebook,Stationery,33824,1,33824,2024-11-21,Indore,Credit Card
41,Smartphone,Electronics,40335,3,121005,2023-01-14,Hyderabad,Cash
42,Pen Pack,Stationery,11309,1,11309,2023-06-10,Ahmedabad,Debit Card
43,T-Shirt,Fashion,2107,3,6321,2023-01-14,Jaipur,Credit Card
44,Headphones,Electronics,12784,1,12784,2025-02-21,Kolkata,Net Banking
45,Headphones,Electronics,10723,3,32169,2023-12-23,Pune,Cash
46,Headphones,Electronics,24627,4,98508,2025-05-29,Mumbai,Credit Card
47,Smartphone,Electronics,49410,5,247050,2024-05-03,Mumbai,Net Banking
48,Air Fryer,Home Appliances,5560,3,16680,2024-11-15,Bengaluru,Net Banking
49,Air Fryer,Home Appliances,19583,3,58749,2025-10-30,Delhi,Net Banking
50,Laptop,Electronics,49080,3,147240,2024-06-03,Hyderabad,Cash
51,Mixer Grinder,Home Appliances,15991,4,63964,2023-08-25,Indore,Net Banking
52,Mixer Grinder,Home Appliances,36071,5,180355,2025-12-08,Bengaluru,UPI
53,T-Shirt,Fashion,13298,1,13298,2023-06-22,Mumbai,Cash
54,Mixer Grinder,Home Appliances,4164,5,20820,2024-05-23,Pune,Net Banking
55,Mixer Grinder,Home Appliances,11913,2,23826,2023-06-10,Indore,Net Banking
56,Mixer Grinder,Home Appliances,37048,3,111144,2023-01-04,Pune,UPI
57,Headphones,Electronics,10489,5,52445,2023-06-27,Jaipur,Credit Card
58,Shoes,Fashion,44286,2,88572,2024-08-26,Indore,Cash
59,Jeans,Fashion,14758,2,29516,2023-04-19,Ahmedabad,Cash
60,Notebook,Stationery,17640,4,70560,2025-07-04,Jaipur,Cash
61,T-Shirt,Fashion,12330,5,61650,2024-05-17,Pune,Net Banking
62,Notebook,Stationery,22506,4,90024,2025-06-14,Jaipur,Debit Card
63,T-Shirt,Fashion,33606,5,168030,2025-10-11,Ahmedabad,Net Banking
64,T-Shirt,Fashion,34997,4,139988,2024-11-11,Jaipur,Net Banking
65,Laptop,Electronics,46368,2,92736,2024-06-20,Mumbai,UPI
66,Jeans,Fashion,47268,3,141804,2023-12-06,Bengaluru,Credit Card
67,Jeans,Fashion,3631,4,14524,2024-02-27,Mumbai,Net Banking
68,Smartphone,Electronics,36055,4,144220,2024-11-23,Mumbai,Debit Card
69,Shoes,Fashion,45951,1,45951,2025-01-22,Pune,Net Banking
70,Jeans,Fashion,866,1,866,2023-09-05,Indore,Net Banking
71,Mixer Grinder,Home Appliances,6271,3,18813,2025-02-28,Jaipur,Debit Card
72,Notebook,Stationery,18935,3,56805,2025-07-07,Chennai,Cash
73,Laptop,Electronics,36644,5,183220,2024-08-30,Kolkata,Credit Card
74,Jeans,Fashion,36663,2,73326,2024-10-03,Delhi,Net Banking
75,Air Fryer,Home Appliances,31436,4,125744,2024-01-01,Chennai,UPI
